"","work","title","year","first_author","issn","name"
"5901","https://openalex.org/W2245645788","The law of war: Grotius, Sidney, Locke and the political theory of rebellion","1992-01-01","https://openalex.org/A2481547601","0143-781X","History of Political Thought"
"5902","https://openalex.org/W396678088","Violence and Responsibility","1978-10-01","https://openalex.org/A2116983277",NA,NA
"5903","https://openalex.org/W2047873356","Terrorism and innocence","2004-03-01","https://openalex.org/A669806269","1382-4554","The Journal of Ethics"
"5904","https://openalex.org/W2067711971","Terrorism Without Intention","2004-07-01","https://openalex.org/A2153884513","0014-1704","Ethics"
"5905","https://openalex.org/W2169369312","A Savage War of Peace: Algeria 1954-1962","1977-01-01","https://openalex.org/A2644944228",NA,NA
"5906","https://openalex.org/W2170364214","Discourses of difference: civilians, combatants, and compliance with the laws of war","2005-12-01","https://openalex.org/A1847418852","0260-2105","Review of International Studies"
"5907","https://openalex.org/W1542706391","On the ethics of war and terrorism","2007-01-01","https://openalex.org/A2095293321",NA,NA
"5908","https://openalex.org/W1706487200","Our Morals: The Ethics of Revolution","1989-03-18","https://openalex.org/A2642594942","0081-0606","Socialist Register"
"5909","https://openalex.org/W2062320231","Legitimacy and Non‐State Political Violence","2009-07-13","https://openalex.org/A2103988045","0963-8016","Journal of Political Philosophy"
"5910","https://openalex.org/W2088494975","Is Terrorism Distinctively Wrong","2007-04-01","https://openalex.org/A2057536406","0014-1704","Ethics"
"5911","https://openalex.org/W2094264885","Terrorism, justification, and illusion","2004-07-01","https://openalex.org/A201770489","0014-1704","Ethics"
"5912","https://openalex.org/W2155450768","Ethics, Killing and War","1995-01-01","https://openalex.org/A2097106544",NA,NA
"5913","https://openalex.org/W2331949470","Who is Morally Liable to be Killed in War","2011-07-01","https://openalex.org/A2153422416","0003-2638","Analysis"
